review_priority,input,expected_en,out_no_context,out_after_english,ok_no_context,ok_after_english,subcase,reason,suite_hint,in_ctx_whitelist,in_collision_table,len,suite_category,suite_severity,suite_notes,case_variants
P1_restored_but_suite_says_never,NOR,NOR,NỎ,NOR,0,1,ctx_fixes,-,never,1,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"NỎ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"nor""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,NOW,NOW,NƠ,NOW,0,1,ctx_fixes,-,never,1,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"NƠ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"now""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,parts,parts,parts,parts,1,1,ok_both,-,never,0,1,5,collision_vn_syllable,medium,"never,""restore se lam tu tieng Viet """"pát"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). ra syllable tieng Viet hop le """"pát""""""",1
P1_restored_but_suite_says_never,per,per,per,per,1,1,ok_both,-,never,0,1,3,collision_vn_syllable,medium,"never,""restore se lam tu tieng Viet """"pẻ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). ra syllable tieng Viet hop le """"pẻ""""""",1
P1_restored_but_suite_says_never,RAYS,RAYS,RÁY,RAYS,0,1,ctx_fixes,-,never,1,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"RÁY"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"rays""""; modifier key phai case-insensitive, output phai giu case goc""",6
P1_restored_but_suite_says_never,REFER,REFER,REFER,REFER,1,1,ok_both,-,never,0,1,5,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"RỂ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"refer""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,REST,REST,REST,REST,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"RÉT"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"rest""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,RUNS,RUNS,RÚN,RUNS,0,1,ctx_fixes,-,never,1,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"RÚN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"runs""""; modifier key phai case-insensitive, output phai giu case goc""",6
P1_restored_but_suite_says_never,see,see,see,see,1,1,ok_both,-,never,1,1,3,collision_vn_syllable,medium,"never,""restore se lam tu tieng Viet """"sê"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). ra syllable tieng Viet hop le """"sê""""""",1
P1_restored_but_suite_says_never,SEEN,SEEN,SÊN,SEEN,0,1,ctx_fixes,-,never,1,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"SÊN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"seen""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,SICS,SICS,SICS,SICS,1,1,ok_both,-,never,0,0,4,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"SÍC"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"sics""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,SONGS,SONGS,SÓNG,SONGS,0,1,ctx_fixes,-,never,1,0,5,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"SÓNG"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"songs""""; modifier key phai case-insensitive, output phai giu case goc""",6
P1_restored_but_suite_says_never,SONS,SONS,SÓN,SONS,0,1,ctx_fixes,-,never,1,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"SÓN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"sons""""; modifier key phai case-insensitive, output phai giu case goc""",6
P1_restored_but_suite_says_never,TERMS,TERMS,TERMS,TERMS,1,1,ok_both,-,never,0,1,5,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"TÉM"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"terms""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,THIS,THIS,THÍ,THIS,0,1,ctx_fixes,-,never,1,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"THÍ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"this""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,THUS,THUS,THÚ,THUS,0,1,ctx_fixes,-,never,1,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"THÚ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"thus""""; modifier key phai case-insensitive, output phai giu case goc""",6
P1_restored_but_suite_says_never,TOO,TOO,TÔ,TOO,0,1,ctx_fixes,-,never,1,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"TÔ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"too""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,town,town,town,town,1,1,ok_both,-,never,0,1,4,collision_vn_syllable,medium,"never,""restore se lam tu tieng Viet """"tơn"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). ra syllable tieng Viet hop le """"tơn""""""",1
P1_restored_but_suite_says_never,TRUST,TRUST,TRUST,TRUST,1,1,ok_both,-,never,0,1,5,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"TRÚT"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"trust""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,VIRUS,VIRUS,VIRUS,VIRUS,1,1,ok_both,-,never,0,1,5,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"VÍU"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"virus""""; modifier key phai case-insensitive, output phai giu case goc""",3
P1_restored_but_suite_says_never,WARS,WARS,WARS,WARS,1,1,ok_both,-,never,0,1,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"ỨA"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"wars""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,AXIS,AXIS,ÁI,ÁI,0,0,ctx_misses,not_in_whitelist,never,0,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"ÁI"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"axis""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BAR,BAR,BẢ,BẢ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BẢ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bar""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BEE,BEE,BÊ,BÊ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÊ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bee""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BES,BES,BÉ,BÉ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"BÉ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bes""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BIS,BIS,BÍ,BÍ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"BÍ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bis""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BOOM,BOOM,BÔM,BÔM,0,0,ctx_misses,not_in_whitelist,never,0,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÔM"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"boom""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BOS,BOS,BÓ,BÓ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"BÓ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bos""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BOW,BOW,BƠ,BƠ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BƠ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bow""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BOX,BOX,BÕ,BÕ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÕ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"box""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BUF,BUF,BÙ,BÙ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÙ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"buf""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BURNS,BURNS,BÚN,BÚN,0,0,ctx_misses,not_in_whitelist,never,0,0,5,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÚN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"burns""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BURST,BURST,BÚT,BÚT,0,0,ctx_misses,not_in_whitelist,never,0,0,5,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÚT"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"burst""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,BUS,BUS,BÚ,BÚ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"BÚ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"bus""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CAR,CAR,CẢ,CẢ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CẢ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"car""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CHAIRS,CHAIRS,CHÁI,CHÁI,0,0,ctx_misses,not_in_whitelist,never,0,0,6,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CHÁI"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"chairs""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CHAR,CHAR,CHẢ,CHẢ,0,0,ctx_misses,not_in_whitelist,never,0,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CHẢ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"char""""; modifier key phai case-insensitive, output phai giu case goc""",6
P3_engine_keeps_vn_suite_expected_contradicts_note,CHEERS,CHEERS,CHẾ,CHẾ,0,0,ctx_misses,not_in_whitelist,never,0,0,6,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CHẾ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"cheers""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CHEF,CHEF,CHÈ,CHÈ,0,0,ctx_misses,not_in_whitelist,never,0,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CHÈ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"chef""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CHIS,CHIS,CHÍ,CHÍ,0,0,ctx_misses,not_in_whitelist,never,0,0,4,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"CHÍ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"chis""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CHOS,CHOS,CHÓ,CHÓ,0,0,ctx_misses,not_in_whitelist,never,0,0,4,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"CHÓ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"chos""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CHOWN,CHOWN,CHƠN,CHƠN,0,0,ctx_misses,not_in_whitelist,never,0,0,5,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CHƠN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"chown""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CORPS,CORPS,CÓP,CÓP,0,0,ctx_misses,not_in_whitelist,never,0,0,5,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CÓP"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"corps""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CORS,CORS,CÓ,CÓ,0,0,ctx_misses,not_in_whitelist,never,0,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CÓ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"cors""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,COS,COS,CÓ,CÓ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CÓ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"cos""""; modifier key phai case-insensitive, output phai giu case goc""",6
P3_engine_keeps_vn_suite_expected_contradicts_note,COW,COW,CƠ,CƠ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"CƠ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"cow""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,CUS,CUS,CÚ,CÚ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"CÚ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"cus""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,DAWN,DAWN,DĂN,DĂN,0,0,ctx_misses,not_in_whitelist,never,0,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"DĂN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"dawn""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,DEE,DEE,DÊ,DÊ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"DÊ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"dee""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,DEF,DEF,DÈ,DÈ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"DÈ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"def""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,DER,DER,DẺ,DẺ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"DẺ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"der""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,DES,DES,DÉ,DÉ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"DÉ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"des""""; modifier key phai case-insensitive, output phai giu case goc""",6
P3_engine_keeps_vn_suite_expected_contradicts_note,DIR,DIR,DỈ,DỈ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"DỈ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"dir""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,dis,dis,dí,dí,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_syllable,medium,"never,""restore se lam tu tieng Viet """"dí"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). ra syllable tieng Viet hop le """"dí""""""",1
P3_engine_keeps_vn_suite_expected_contradicts_note,DOS,DOS,DÓ,DÓ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"DÓ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"dos""""; modifier key phai case-insensitive, output phai giu case goc""",6
P3_engine_keeps_vn_suite_expected_contradicts_note,DOW,DOW,DƠ,DƠ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"DƠ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"dow""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,GAS,GAS,GÁ,GÁ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"GÁ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"gas""""; modifier key phai case-insensitive, output phai giu case goc""",6
P3_engine_keeps_vn_suite_expected_contradicts_note,HES,HES,HÉ,HÉ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"HÉ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"hes""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,IRS,IRS,Í,Í,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"Í"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"irs""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,KEEN,KEEN,KÊN,KÊN,0,0,ctx_misses,not_in_whitelist,never,0,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"KÊN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"keen""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,KYS,KYS,KÝ,KÝ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"KÝ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"kys""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,LAWN,LAWN,LĂN,LĂN,0,0,ctx_misses,not_in_whitelist,never,0,0,4,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"LĂN"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"lawn""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,LEE,LEE,LÊ,LÊ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"LÊ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"lee""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,LES,LES,LÉ,LÉ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"LÉ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"les""""; modifier key phai case-insensitive, output phai giu case goc""",6
P3_engine_keeps_vn_suite_expected_contradicts_note,LIS,LIS,LÍ,LÍ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"LÍ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"lis""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,LOS,LOS,LÓ,LÓ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"LÓ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"los""""; modifier key phai case-insensitive, output phai giu case goc""",6
P3_engine_keeps_vn_suite_expected_contradicts_note,LUS,LUS,LÚ,LÚ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,inflection_trap_cased,high,"never,""restore se lam tu tieng Viet """"LÚ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"lus""""; modifier key phai case-insensitive, output phai giu case goc""",3
P3_engine_keeps_vn_suite_expected_contradicts_note,MAR,MAR,MẢ,MẢ,0,0,ctx_misses,not_in_whitelist|short_token,never,0,0,3,collision_vn_word_cased,high,"never,""restore se lam tu tieng Viet """"MẢ"""" KHONG THE GO DUOC NUA (chi co 1 duong keystroke). bien the chu hoa cua """"mar""""; modifier key phai case-insensitive, output phai giu case goc""",3
